cisp;regiao;ano;roubo_veiculo;flag
19;Capital;2003;64;outlier_sup
21;Capital;2003;166;outlier_sup
22;Capital;2003;131;outlier_sup
23;Capital;2003;124;outlier_sup
24;Capital;2003;78;outlier_sup
25;Capital;2003;118;outlier_sup
27;Capital;2003;148;outlier_sup
30;Capital;2003;96;outlier_sup
33;Capital;2003;62;outlier_sup
34;Capital;2003;93;outlier_sup
35;Capital;2003;93;outlier_sup
37;Capital;2003;82;outlier_sup
38;Capital;2003;142;outlier_sup
39;Capital;2003;135;outlier_sup
40;Capital;2003;70;outlier_sup
44;Capital;2003;105;outlier_sup
52;Baixada Fluminense;2003;67;outlier_sup
59;Baixada Fluminense;2003;203;outlier_sup
64;Baixada Fluminense;2003;70;outlier_sup
21;Capital;2003;178;outlier_sup
22;Capital;2003;127;outlier_sup
23;Capital;2003;120;outlier_sup
24;Capital;2003;84;outlier_sup
25;Capital;2003;92;outlier_sup
27;Capital;2003;120;outlier_sup
28;Capital;2003;71;outlier_sup
29;Capital;2003;76;outlier_sup
30;Capital;2003;86;outlier_sup
34;Capital;2003;104;outlier_sup
35;Capital;2003;105;outlier_sup
37;Capital;2003;110;outlier_sup
38;Capital;2003;124;outlier_sup
39;Capital;2003;119;outlier_sup
44;Capital;2003;82;outlier_sup
52;Baixada Fluminense;2003;68;outlier_sup
59;Baixada Fluminense;2003;171;outlier_sup
64;Baixada Fluminense;2003;66;outlier_sup
21;Capital;2003;149;outlier_sup
22;Capital;2003;143;outlier_sup
23;Capital;2003;86;outlier_sup
24;Capital;2003;99;outlier_sup
25;Capital;2003;75;outlier_sup
27;Capital;2003;126;outlier_sup
28;Capital;2003;66;outlier_sup
29;Capital;2003;79;outlier_sup
30;Capital;2003;85;outlier_sup
34;Capital;2003;101;outlier_sup
35;Capital;2003;87;outlier_sup
37;Capital;2003;90;outlier_sup
38;Capital;2003;121;outlier_sup
39;Capital;2003;87;outlier_sup
44;Capital;2003;80;outlier_sup
52;Baixada Fluminense;2003;71;outlier_sup
59;Baixada Fluminense;2003;143;outlier_sup
64;Baixada Fluminense;2003;61;outlier_sup
21;Capital;2003;176;outlier_sup
22;Capital;2003;118;outlier_sup
23;Capital;2003;105;outlier_sup
24;Capital;2003;87;outlier_sup
25;Capital;2003;99;outlier_sup
27;Capital;2003;112;outlier_sup
30;Capital;2003;78;outlier_sup
34;Capital;2003;103;outlier_sup
35;Capital;2003;109;outlier_sup
37;Capital;2003;78;outlier_sup
38;Capital;2003;88;outlier_sup
39;Capital;2003;110;outlier_sup
40;Capital;2003;61;outlier_sup
44;Capital;2003;113;outlier_sup
52;Baixada Fluminense;2003;64;outlier_sup
59;Baixada Fluminense;2003;147;outlier_sup
64;Baixada Fluminense;2003;63;outlier_sup
20;Capital;2003;68;outlier_sup
21;Capital;2003;184;outlier_sup
22;Capital;2003;119;outlier_sup
23;Capital;2003;117;outlier_sup
24;Capital;2003;122;outlier_sup
25;Capital;2003;92;outlier_sup
27;Capital;2003;143;outlier_sup
29;Capital;2003;68;outlier_sup
30;Capital;2003;92;outlier_sup
34;Capital;2003;132;outlier_sup
35;Capital;2003;94;outlier_sup
37;Capital;2003;142;outlier_sup
38;Capital;2003;122;outlier_sup
39;Capital;2003;83;outlier_sup
44;Capital;2003;112;outlier_sup
59;Baixada Fluminense;2003;157;outlier_sup
64;Baixada Fluminense;2003;69;outlier_sup
21;Capital;2003;108;outlier_sup
22;Capital;2003;146;outlier_sup
23;Capital;2003;90;outlier_sup
24;Capital;2003;93;outlier_sup
27;Capital;2003;122;outlier_sup
29;Capital;2003;61;outlier_sup
30;Capital;2003;80;outlier_sup
34;Capital;2003;75;outlier_sup
35;Capital;2003;67;outlier_sup
37;Capital;2003;117;outlier_sup
38;Capital;2003;110;outlier_sup
39;Capital;2003;101;outlier_sup
40;Capital;2003;68;outlier_sup
44;Capital;2003;86;outlier_sup
52;Baixada Fluminense;2003;74;outlier_sup
59;Baixada Fluminense;2003;108;outlier_sup
64;Baixada Fluminense;2003;74;outlier_sup
21;Capital;2003;140;outlier_sup
22;Capital;2003;110;outlier_sup
23;Capital;2003;109;outlier_sup
25;Capital;2003;70;outlier_sup
27;Capital;2003;104;outlier_sup
30;Capital;2003;73;outlier_sup
34;Capital;2003;83;outlier_sup
37;Capital;2003;97;outlier_sup
38;Capital;2003;80;outlier_sup
39;Capital;2003;91;outlier_sup
44;Capital;2003;93;outlier_sup
59;Baixada Fluminense;2003;107;outlier_sup
